,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter,housing_type_Nhà biệt thự,"housing_type_Nhà mặt phố, mặt tiền","housing_type_Nhà ngõ, hẻm",housing_type_Nhà phố liền kề,legal_paper_Giấy tờ khác,legal_paper_Đang chờ sổ,legal_paper_Đã có sổ,district_Huyện Chương Mỹ,district_Huyện Gia Lâm,district_Huyện Hoài Đức,district_Huyện Thanh Trì,district_Huyện Đông Anh,district_Quận Ba Đình,district_Quận Bắc Từ Liêm,district_Quận Cầu Giấy,district_Quận Hai Bà Trưng,district_Quận Hoàn Kiếm,district_Quận Hoàng Mai,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Nam Từ Liêm,district_Quận Thanh Xuân,district_Quận Tây Hồ,district_Quận Đống Đa,district_Thị xã Sơn Tây,ward_Phường Biên Giang,ward_Phường Bách Khoa,ward_Phường Bùi Thị Xuân,ward_Phường Bưởi,ward_Phường Bạch Mai,ward_Phường Bạch Đằng,ward_Phường Bồ Đề,ward_Phường Chương Dương,ward_Phường Cát Linh,ward_Phường Cầu Diễn,ward_Phường Cầu Dền,ward_Phường Cống Vị,ward_Phường Cổ Nhuế 1,ward_Phường Cổ Nhuế 2,ward_Phường Cửa Đông,ward_Phường Cự Khối,ward_Phường Dương Nội,ward_Phường Dịch Vọng,ward_Phường Dịch Vọng Hậu,ward_Phường Gia Thụy,ward_Phường Giang Biên,ward_Phường Giáp Bát,ward_Phường Giảng Võ,ward_Phường Hoàng Liệt,ward_Phường Hoàng Văn Thụ,ward_Phường Hà Cầu,ward_Phường Hàng Bài,ward_Phường Hàng Bột,ward_Phường Hạ Đình,ward_Phường Khâm Thiên,ward_Phường Khương Mai,ward_Phường Khương Trung,ward_Phường Khương Đình,ward_Phường Kim Giang,ward_Phường Kim Liên,ward_Phường Kim Mã,ward_Phường Kiến Hưng,ward_Phường La Khê,ward_Phường Liên Mạc,ward_Phường Liễu Giai,ward_Phường Long Biên,ward_Phường Láng Hạ,ward_Phường Láng Thượng,ward_Phường Lĩnh Nam,ward_Phường Mai Dịch,ward_Phường Mai Động,ward_Phường Minh Khai,ward_Phường Mễ Trì,ward_Phường Mộ Lao,ward_Phường Mỹ Đình 1,ward_Phường Nam Đồng,ward_Phường Nghĩa Tân,ward_Phường Nghĩa Đô,ward_Phường Nguyễn Du,ward_Phường Nguyễn Trãi,ward_Phường Ngã Tư Sở,ward_Phường Ngô Quyền,ward_Phường Ngọc Hà,ward_Phường Ngọc Khánh,ward_Phường Ngọc Lâm,ward_Phường Ngọc Thụy,ward_Phường Nhân Chính,ward_Phường Phan Chu Trinh,ward_Phường Phú Diễn,ward_Phường Phú La,ward_Phường Phú Lãm,ward_Phường Phú Lương,ward_Phường Phú Thượng,ward_Phường Phú Đô,ward_Phường Phúc La,ward_Phường Phúc Lợi,ward_Phường Phúc Xá,ward_Phường Phúc Đồng,ward_Phường Phương Canh,ward_Phường Phương Liên,ward_Phường Phương Liệt,ward_Phường Phương Mai,ward_Phường Phạm Đình Hổ,ward_Phường Quan Hoa,ward_Phường Quang Trung,ward_Phường Quốc Tử Giám,ward_Phường Sài Đồng,ward_Phường Thanh Lương,ward_Phường Thanh Nhàn,ward_Phường Thanh Trì,ward_Phường Thanh Xuân Bắc,ward_Phường Thanh Xuân Nam,ward_Phường Thanh Xuân Trung,ward_Phường Thành Công,ward_Phường Thượng Cát,ward_Phường Thượng Thanh,ward_Phường Thượng Đình,ward_Phường Thạch Bàn,ward_Phường Thịnh Liệt,ward_Phường Thịnh Quang,ward_Phường Thụy Khuê,ward_Phường Thụy Phương,ward_Phường Trung Hoà,ward_Phường Trung Liệt,ward_Phường Trung Tự,ward_Phường Trung Văn,ward_Phường Trương Định,ward_Phường Trần Phú,ward_Phường Tân Mai,ward_Phường Tây Mỗ,ward_Phường Tương Mai,ward_Phường Việt Hưng,ward_Phường Văn Miếu,ward_Phường Văn Quán,ward_Phường Vĩnh Hưng,ward_Phường Vĩnh Phúc,ward_Phường Vĩnh Tuy,ward_Phường Vạn Phúc,ward_Phường Xuân La,ward_Phường Xuân Phương,ward_Phường Xuân Đỉnh,ward_Phường Yên Hoà,ward_Phường Yên Nghĩa,ward_Phường Yên Phụ,ward_Phường Yên Sở,ward_Phường Yết Kiêu,ward_Phường Ô Chợ Dừa,ward_Phường Điện Biên,ward_Phường Đông Ngạc,ward_Phường Đại Kim,ward_Phường Đại Mỗ,ward_Phường Định Công,ward_Phường Đống Mác,ward_Phường Đồng Tâm,ward_Phường Đội Cấn,ward_Phường Đức Giang,ward_Phường Đức Thắng,ward_Xã Di Trạch,ward_Xã Hữu Hoà,ward_Xã Kiêu Kỵ,ward_Xã La Phù,ward_Xã Tam Hiệp,ward_Xã Thanh Liệt,ward_Xã Tả Thanh Oai,ward_Xã Vân Canh,ward_Xã Võng La,ward_Xã Đông Dư,ward_Xã Đông La,ward_Xã Đại Yên
70,4,2,18.0,6.0,3.2,105.56,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,5,5,33.0,11.0,3.0,136.36,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5,3,32.0,11.0,3.2,89.06,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4,3,20.0,6.5,3.0,97.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,3,3,28.0,7.0,3.9,100.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5,3,30.0,4.0,7.55,118.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,2,37.0,10.0,3.7,53.51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1,45.0,10.0,4.5,71.11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,5,3,11.0,3.0,4.0,131.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3,3,21.0,7.0,3.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,8,75.0,20.0,6.0,393.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,5,3,35.0,9.0,4.0,71.43,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3,2,30.0,9.0,3.2,60.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,5,3,25.0,7.0,3.6,96.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,5,4,40.0,10.0,4.0,50.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
